word,formal,lazy,keyer,usage,hint
I understand,astn,astn,,8,I understand = astn (astn)  [8]
habeas corpus,abk,abk,,10,habeas corpus = abk (abk)  [10]
ad valorem,adv,adv,,7,ad valorem = adv (adv)  [7]
I desire to thank you,adshu,adshu,,16,I desire to thank you = adshu (adshu)  [16]
I think that,ahha,ahha,,8,I think that = ahha (ahha)  [8]
assistant general manager,ajm,ajm,,22,assistant general manager = ajm (ajm)  [22]
I will be,alb,alb,,6,I will be = alb (alb)  [6]
allow us,als,als,,5,allow us = als (als)  [5]
I am not,amn,amn,,5,I am not = amn (amn)  [5]
I am of the opinion,amopn,amopn,,14,I am of the opinion = amopn (amopn)  [14]
I am sorry,amso,amso,,6,I am sorry = amso (amso)  [6]
I am sure,amz,amz,,6,I am sure = amz (amz)  [6]
application blank,aplb,aplb,,13,application blank = aplb (aplb)  [13]
as the,ash,ash,,3,as the = ash (ash)  [3]
as a matter of fact,asmatf,asmatf,,13,as a matter of fact = asmatf (asmatf)  [13]
as a matter of course,asmatok,asmatok,,14,as a matter of course = asmatok (asmatok)  [14]
as a result,asr,asr,,8,as a result = asr (asr)  [8]
as a rule,asrl,asrl,,5,as a rule = asrl (asrl)  [5]
as to,astu,astu,,1,as to = astu (astu)  [1]
I do not,atn,atn,,5,I do not = atn (atn)  [5]
I do not understand,atnstn,atnstn,,13,I do not understand = atnstn (atnstn)  [13]
I should like to know,azdlano,azdlano,,14,I should like to know = azdlano (azdlano)  [14]
I should like to have,azdlav,azdlav,,15,I should like to have = azdlav (azdlav)  [15]
bear in mind,bami,bami,,8,bear in mind = bami (bami)  [8]
baggage department,bgd,bgd,,15,baggage department = bgd (bgd)  [15]
by reaon of the,brsh,brsh,,11,by reaon of the = brsh (brsh)  [11]
by reason of their,brsh,brsh,,14,by reason of their = brsh (brsh)  [14]
by reason of that,brsha,brsha,,12,by reason of that = brsha (brsha)  [12]
by reason of my,brsma,brsma,,10,by reason of my = brsma (brsma)  [10]
better than,bten,bten,,7,better than = bten (bten)  [7]
chief clerk,cklr,cklr,,7,chief clerk = cklr (cklr)  [7]
de jure,dj,dj,,5,de jure = dj (dj)  [5]
day or two,datu,datu,,6,day or two = datu (datu)  [6]
would be able,dba,dba,,10,would be able = dba (dba)  [10]
dollar and a half,dof,dof,,14,dollar and a half = dof (dof)  [14]
dollar and a quarter,dok,dok,,17,dollar and a quarter = dok (dok)  [17]
does not,dusn,dusn,,4,does not = dusn (dusn)  [4]
if you,efu,efu,,3,if you = efu (efu)  [3]
if you will,eful,eful,,7,if you will = eful (eful)  [7]
if you want,efunt,efunt,,6,if you want = efunt (efunt)  [6]
with the,ehh,ehh,,5,with the = ehh (ehh)  [5]
with reference to the matter,ehrfmat,ehrfmat,,21,with reference to the matter = ehrfmat (ehrfmat)  [21]
either side,ehs,ehs,,8,either side = ehs (ehs)  [8]
with you,ehu,ehu,,5,with you = ehu (ehu)  [5]
with us,ehus,ehus,,3,with us = ehus (ehus)  [3]
weeks ago,eksg,eksg,,5,weeks ago = eksg (eksg)  [5]
he can't,ekt,ekt,,5,he can't = ekt (ekt)  [5]
week or two,ektu,ektu,,7,week or two = ektu (ektu)  [7]
electrical engineer,elnje,elnje,,14,electrical engineer = elnje (elnje)  [14]
el paso,elpas,elpas,,2,el paso = elpas (elpas)  [2]
whether or not,en,en,,12,whether or not = en (en)  [12]
he was not,eosnt,eosnt,,5,he was not = eosnt (eosnt)  [5]
he was,es,es,,4,he was = es (es)  [4]
ex officio,esozo,esozo,,5,ex officio = esozo (esozo)  [5]
easterly direction,esred,esred,,13,easterly direction = esred (esred)  [13]
easterly side,esres,esres,,8,easterly side = esres (esres)  [8]
he says,ess,ess,,4,he says = ess (ess)  [4]
he is to be,estb,estb,,7,he is to be = estb (estb)  [7]
few days,fdas,fdas,,4,few days = fdas (fdas)  [4]
for a day or two,fdatu,fdatu,,11,for a day or two = fdatu (fdatu)  [11]
for example,fesam,fesam,,6,for example = fesam (fesam)  [6]
first class,fesk,fesk,,7,first class = fesk (fesk)  [7]
first class manner,feskmne,feskmne,,11,first class manner = feskmne (feskmne)  [11]
further than,fhn,fhn,,9,further than = fhn (fhn)  [9]
for the purpose,fhp,fhp,,12,for the purpose = fhp (fhp)  [12]
freight claim agent,fka,fka,,16,freight claim agent = fka (fka)  [16]
freight claim auditor,fko,fko,,18,freight claim auditor = fko (fko)  [18]
from the,fmh,fmh,,5,from the = fmh (fmh)  [5]
few minutes,fmnets,fmnets,,5,few minutes = fmnets (fmnets)  [5]
few moments,fmns,fmns,,7,few moments = fmns (fmns)  [7]
few moments ago,fmnsg,fmnsg,,10,few moments ago = fmnsg (fmnsg)  [10]
freight engineer,fnje,fnje,,12,freight engineer = fnje (fnje)  [12]
for a number of years,fnumers,fnumers,,14,for a number of years = fnumers (fnumers)  [14]
federal reserve board,frb,frb,,18,federal reserve board = frb (frb)  [18]
give us,ges,ges,,4,give us = ges (ges)  [4]
glad to hear from you,glerfmu,glerfmu,,14,glad to hear from you = glerfmu (glerfmu)  [14]
here and there,herh,herh,,10,here and there = herh (herh)  [10]
I went,int,int,,3,I went = int (int)  [3]
I hope,ip,ip,,4,I hope = ip (ip)  [4]
wire us,irs,irs,,4,wire us = irs (irs)  [4]
ice house,isus,isus,,5,ice house = isus (isus)  [5]
general manager,jm,jm,,13,general manager = jm (jm)  [13]
joint resolution,jrsoz,jrsoz,,11,joint resolution = jrsoz (jrsoz)  [11]
general claim auditor,jko,jko,,18,general claim auditor = jko (jko)  [18]
general passenger agent,jpa,jpa,,20,general passenger agent = jpa (jpa)  [20]
general purchasing agent,jprca,jprca,,19,general purchasing agent = jprca (jprca)  [19]
jersey city,jsete,jsete,,6,jersey city = jsete (jsete)  [6]
caveat emptor,kmt,kmt,,10,caveat emptor = kmt (kmt)  [10]
carry on,kian,kian,,4,carry on = kian (kian)  [4]
costa rica,kosr,kosr,,6,costa rica = kosr (kosr)  [6]
because of the fact that,ksfha,ksfha,,19,because of the fact that = ksfha (ksfha)  [19]
call your attention to the fact,kutnzf,kutnzf,,25,call your attention to the fact = kutnzf (kutnzf)  [25]
larger than,lajen,lajen,,6,larger than = lajen (lajen)  [6]
will be,lb,lb,,5,will be = lb (lb)  [5]
let us hear from you,lerfmu,lerfmu,,14,let us hear from you = lerfmu (lerfmu)  [14]
let us,les,les,,3,let us = les (les)  [3]
little or nothing,letnh,letnh,,12,little or nothing = letnh (letnh)  [12]
longer than,lgen,lgen,,7,longer than = lgen (lgen)  [7]
locomotive engineer,lokdfnje,lokdfnje,,11,locomotive engineer = lokdfnje (lokdfnje)  [11]
may be,mab,mab,,3,may be = mab (mab)  [3]
my dear sir,mads,mads,,7,my dear sir = mads (mads)  [7]
mere fact that,mefha,mefha,,9,mere fact that = mefha (mefha)  [9]
mechanical superintendent,meks,meks,,21,mechanical superintendent = meks (meks)  [21]
mechanical engineer,meknje,meknje,,13,mechanical engineer = meknje (meknje)  [13]
my friend,mif,mif,,6,my friend = mif (mif)  [6]
more or less,mles,mles,,8,more or less = mles (mles)  [8]
in my judgment,mnij,mnij,,10,in my judgment = mnij (mnij)  [10]
member of the house,mnus,mnus,,15,member of the house = mnus (mnus)  [15]
must have,msv,msv,,6,must have = msv (msv)  [6]
in answer to your letter,nansule,nansule,,17,in answer to your letter = nansule (nansule)  [17]
national defense,nazdf,nazdf,,11,national defense = nazdf (nazdf)  [11]
northbound track,nbt,nbt,,13,northbound track = nbt (nbt)  [13]
in a week or two,nektu,nektu,,11,in a week or two = nektu (nektu)  [11]
nearer than,nen,nen,,8,nearer than = nen (nen)  [8]
northeast quarter,neskte,neskte,,11,northeast quarter = neskte (neskte)  [11]
northeasterly direction,nesred,nesred,,17,northeasterly direction = nesred (nesred)  [17]
northeasterly side,nesres,nesres,,12,northeasterly side = nesres (nesres)  [12]
in the first place,nfesp,nfesp,,13,in the first place = nfesp (nfesp)  [13]
in the,nh,nh,,4,in the = nh (nh)  [4]
in the morning,nhmnh,nhmnh,,9,in the morning = nhmnh (nhmnh)  [9]
kskz engineer of construction,nje,nje,,26,kskz engineer of construction = nje (nje)  [26]
in the course of time,nkrstm,nkrstm,,15,in the course of time = nkrstm (nkrstm)  [15]
in order to be able,nodba,nodba,,14,in order to be able = nodba (nodba)  [14]
in order to judge,nodjj,nodjj,,12,in order to judge = nodjj (nodjj)  [12]
in order to prepare,nodprep,nodprep,,12,in order to prepare = nodprep (nodprep)  [12]
in order to receive,nodrse,nodrse,,13,in order to receive = nodrse (nodrse)  [13]
no one,non,non,,3,no one = non (non)  [3]
in our,nr,nr,,4,in our = nr (nr)  [4]
in re,nre,nre,,2,in re = nre (nre)  [2]
in regard to the matter,nremat,nremat,,17,in regard to the matter = nremat (nremat)  [17]
in reply,nrep,nrep,,4,in reply = nrep (nrep)  [4]
in reply to your,nrepu,nrepu,,11,in reply to your = nrepu (nrepu)  [11]
in reference to the matter,nrfmat,nrfmat,,20,in reference to the matter = nrfmat (nrfmat)  [20]
in such a manner,nscmne,nscmne,,10,in such a manner = nscmne (nscmne)  [10]
in a day or two,ntatu,ntatu,,10,in a day or two = ntatu (ntatu)  [10]
and the,nth,nth,,4,and the = nth (nth)  [4]
into the,ntuh,ntuh,,4,into the = ntuh (ntuh)  [4]
in due time,ntutm,ntutm,,6,in due time = ntutm (ntutm)  [6]
northwest corner,nuk,nuk,,13,northwest corner = nuk (nuk)  [13]
northwest quarter,nukte,nukte,,12,northwest quarter = nukte (nukte)  [12]
in your line of business,nulanbs,nulanbs,,17,in your line of business = nulanbs (nulanbs)  [17]
northwesterly direction,nured,nured,,18,northwesterly direction = nured (nured)  [18]
northwesterly side,nures,nures,,13,northwesterly side = nures (nures)  [13]
in the house,nus,nus,,9,in the house = nus (nus)  [9]
northwest territories,nutet,nutet,,16,northwest territories = nutet (nutet)  [16]
in the usual manner,nuzmne,nuzmne,,13,in the usual manner = nuzmne (nuzmne)  [13]
in view of the fact that,nvfha,nvfha,,19,in view of the fact that = nvfha (nvfha)  [19]
all over the world,ouu,ouu,,15,all over the world = ouu (ouu)  [15]
of her,oer,oer,,3,of her = oer (oer)  [3]
point out,oet,oet,,6,point out = oet (oet)  [6]
of their,oh,oh,,6,of their = oh (oh)  [6]
of these,ohes,ohes,,4,of these = ohes (ohes)  [4]
of him,om,om,,4,of him = om (om)  [4]
on account of the fact,onakf,onakf,,17,on account of the fact = onakf (onakf)  [17]
on account of the way,onakua,onakua,,15,on account of the way = onakua (onakua)  [15]
on both sides,onbohs,onbohs,,7,on both sides = onbohs (onbohs)  [7]
on the,onh,onh,,3,on the = onh (onh)  [3]
on the floor,onhf,onhf,,8,on the floor = onhf (onhf)  [8]
on our,onr,onr,,3,on our = onr (onr)  [3]
on you,onu,onu,,3,on you = onu (onu)  [3]
on your,onu,onu,,4,on your = onu (onu)  [4]
on the other hand,onuhnd,onuhnd,,11,on the other hand = onuhnd (onuhnd)  [11]
on the other side,onuhs,onuhs,,12,on the other side = onuhs (onuhs)  [12]
of all,oo,oo,,4,of all = oo (oo)  [4]
hope to hear from you,operfmu,operfmu,,14,hope to hear from you = operfmu (operfmu)  [14]
of his,os,os,,4,of his = os (os)  [4]
of us,os,os,,3,of us = os (os)  [3]
was not,osnt,osnt,,3,was not = osnt (osnt)  [3]
what has been done,otasbtn,otasbtn,,11,what has been done = otasbtn (otasbtn)  [11]
ought to have,otv,otv,,10,ought to have = otv (otv)  [10]
of your,ou,ou,,5,of your = ou (ou)  [5]
passenger department,pd,pd,,18,passenger department = pd (pd)  [18]
prince edward island,pei,pei,,17,prince edward island = pei (pei)  [17]
price list,pls,pls,,7,price list = pls (pls)  [7]
post office,pos,pos,,8,post office = pos (pos)  [8]
parcel post,pp,pp,,9,parcel post = pp (pp)  [9]
puerto rico,pr,pr,,9,puerto rico = pr (pr)  [9]
passenger coach,pkoc,pkoc,,11,passenger coach = pkoc (pkoc)  [11]
post office department,pod,pod,,19,post office department = pod (pod)  [19]
per diem,prtm,prtm,,4,per diem = prtm (prtm)  [4]
purchasing agent,prca,prca,,12,purchasing agent = prca (prca)  [12]
purchasing department,prcd,prcd,,17,purchasing department = prcd (prcd)  [17]
passenger traffic manager,ptm,ptm,,22,passenger traffic manager = ptm (ptm)  [22]
regard us,res,res,,6,regard us = res (res)  [6]
write us,ris,ris,,5,write us = ris (ris)  [5]
our personal attention,rprstnz,rprstnz,,15,our personal attention = rprstnz (rprstnz)  [15]
reason why,rsi,rsi,,7,reason why = rsi (rsi)  [7]
reasons why,rssi,rssi,,7,reasons why = rssi (rssi)  [7]
are you,ru,ru,,5,are you = ru (ru)  [5]
respectfully yours,ru,ru,,16,respectfully yours = ru (ru)  [16]
supreme court,skt,skt,,10,supreme court = skt (skt)  [10]
superintendent of motive power,smp,smp,,27,superintendent of motive power = smp (smp)  [27]
such circumstances,scss,scss,,14,such circumstances = scss (scss)  [14]
south dakota,sd,sd,,10,south dakota = sd (sd)  [10]
secretary of commerce,sekmye,sekmye,,15,secretary of commerce = sekmye (sekmye)  [15]
southeast quarter,seskte,seskte,,11,southeast quarter = seskte (seskte)  [11]
southeasterly direction,sesred,sesred,,17,southeasterly direction = sesred (sesred)  [17]
as great as,sgrs,sgrs,,7,as great as = sgrs (sgrs)  [7]
should be,shdb,shdb,,5,should be = shdb (shdb)  [5]
should be able,shdba,shdba,,9,should be able = shdba (shdba)  [9]
square yard,skad,skad,,7,square yard = skad (skad)  [7]
as quickly as possible,skekep,skekep,,16,as quickly as possible = skekep (skekep)  [16]
as low as,slos,slos,,5,as low as = slos (slos)  [5]
as well as,sls,sls,,7,as well as = sls (sls)  [7]
somebody else,smbols,smbols,,7,somebody else = smbols (smbols)  [7]
some of those,smhs,smhs,,9,some of those = smhs (smhs)  [9]
central america,snam,snam,,11,central america = snam (snam)  [11]
sooner than,snen,snen,,7,sooner than = snen (snen)  [7]
as near as possible,snesp,snesp,,14,as near as possible = snesp (snesp)  [14]
civil engineer,snje,snje,,10,civil engineer = snje (snje)  [10]
so far as i know,sofasno,sofasno,,9,so far as i know = sofasno (sofasno)  [9]
so well,sol,sol,,4,so well = sol (sol)  [4]
civil service,ss,ss,,11,civil service = ss (ss)  [11]
sometime or other,stmuh,stmuh,,12,sometime or other = stmuh (stmuh)  [12]
southwest quarter,sukte,sukte,,12,southwest quarter = sukte (sukte)  [12]
southwesterly direction,sured,sured,,18,southwesterly direction = sured (sured)  [18]
traffic manager,tm,tm,,13,traffic manager = tm (tm)  [13]
to be,tb,tb,,3,to be = tb (tb)  [3]
to be done,tbtn,tbtn,,6,to be done = tbtn (tbtn)  [6]
to which,tc,tc,,6,to which = tc (tc)  [6]
did you,tdu,tdu,,4,did you = tdu (tdu)  [4]
to do,tdu,tdu,,2,to do = tdu (tdu)  [2]
ticket auditor,teko,teko,,10,ticket auditor = teko (teko)  [10]
tell us,tes,tes,,4,tell us = tes (tes)  [4]
at your earliest convenience,teskv,teskv,,23,at your earliest convenience = teskv (teskv)  [23]
at an early date,tetd,tetd,,12,at an early date = tetd (tetd)  [12]
at the,th,th,,4,at the = th (th)  [4]
the floor of the house,thfus,thfus,,17,the floor of the house = thfus (thfus)  [17]
that the,thah,thah,,4,that the = thah (thah)  [4]
that they,thahe,thahe,,4,that they = thahe (thahe)  [4]
that is,thas,thas,,3,that is = thas (thas)  [3]
that is to say,thassa,thassa,,8,that is to say = thassa (thassa)  [8]
thoroughly understood,thestu,thestu,,15,thoroughly understood = thestu (thestu)  [15]
they were not,then,then,,9,they were not = then (then)  [9]
they do not,thetn,thetn,,6,they do not = thetn (thetn)  [6]
they had,thid,thid,,4,they had = thid (thid)  [4]
there was not,thosnt,thosnt,,7,there was not = thosnt (thosnt)  [7]
there are,thr,thr,,6,there are = thr (thr)  [6]
they are,thr,thr,,5,they are = thr (thr)  [5]
through the,thruh,thruh,,6,through the = thruh (thruh)  [6]
there is,ths,ths,,5,there is = ths (ths)  [5]
there is not,thsnt,thsnt,,7,there is not = thsnt (thsnt)  [7]
thank you,thu,thu,,6,thank you = thu (thu)  [6]
it will,tl,tl,,5,it will = tl (tl)  [5]
to a large extent,tlajes,tlajes,,11,to a large extent = tlajes (tlajes)  [11]
it may be,tmab,tmab,,5,it may be = tmab (tmab)  [5]
Dear Mr.,tmr,tmr,,5,Dear Mr. = tmr (tmr)  [5]
Dear Ms.,tms,tms,,5,Dear Ms. = tms (tms)  [5]
it must,tms,tms,,4,it must = tms (tms)  [4]
it must be,tmsb,tmsb,,6,it must be = tmsb (tmsb)  [6]
at any,tne,tne,,3,at any = tne (tne)  [3]
to any,tne,tne,,3,to any = tne (tne)  [3]
at any date,tnetd,tnetd,,6,at any date = tnetd (tnetd)  [6]
at any time,tnetm,tnetm,,6,at any time = tnetm (tnetm)  [6]
to anyone,tneun,tneun,,4,to anyone = tneun (tneun)  [4]
do you know,tno,tno,,8,do you know = tno (tno)  [8]
to know,tno,tno,,4,to know = tno (tno)  [4]
do you know whether or not,tnoen,tnoen,,21,do you know whether or not = tnoen (tnoen)  [21]
