"word","page","link","x","y"
"abduction","001","pages\001.png","1117","1176"
"disable","001","pages\001.png","1945","1165"
"aback","001","pages\001.png","228","1290"
"abed","001","pages\001.png","1050","1285"
"enable","001","pages\001.png","1939","1287"
"abaft","001","pages\001.png","226","1414"
"aberrance","001","pages\001.png","1048","1407"
"inability","001","pages\001.png","1940","1415"
"abandon","001","pages\001.png","226","1533"
"aberrant","001","pages\001.png","1120","1527"
"unable","001","pages\001.png","1938","1531"
"abandonment","001","pages\001.png","296","1663"
"aberration","001","pages\001.png","1116","1648"
"ablution","001","pages\001.png","1872","1649"
"abate","001","pages\001.png","228","1776"
"abet","001","pages\001.png","1046","1769"
"abnegation","001","pages\001.png","1872","1777"
"abatable","001","pages\001.png","294","1894"
"abeyance","001","pages\001.png","1045","1896"
"abnormal","001","pages\001.png","1865","1898"
"abated","001","pages\001.png","292","2017"
"abhor","001","pages\001.png","1044","2011"
"abnormality","001","pages\001.png","1936","2022"
"abatement","001","pages\001.png","294","2135"
"abhorrence","001","pages\001.png","1110","2135"
"abnormity","001","pages\001.png","1932","2139"
"unabated","001","pages\001.png","294","2255"
"abhorrent","001","pages\001.png","1110","2251"
"aboard","001","pages\001.png","1856","2250"
"abbot","001","pages\001.png","216","2376"
"abide","001","pages\001.png","1040","2371"
"abolish","001","pages\001.png","1857","2370"
"abbreviate","001","pages\001.png","226","2495"
"abjure","001","pages\001.png","1036","2499"
"abolition","001","pages\001.png","1926","2492"
"abbreviation","001","pages\001.png","294","2612"
"abjuration","001","pages\001.png","1104","2621"
"abolitionist","001","pages\001.png","1922","2610"
"unabbreviated","001","pages\001.png","289","2733"
"abjures","001","pages\001.png","1102","2737"
"abominate","001","pages\001.png","1850","2732"
"abdicate","001","pages\001.png","222","2854"
"ablative","001","pages\001.png","1030","2851"
"abominable","001","pages\001.png","1920","2852"
"abdicated","001","pages\001.png","268","2980"
"abomination","001","pages\001.png","1915","2989"
"able","001","pages\001.png","1030","2971"
"abdication","001","pages\001.png","286","3093"
"ability","001","pages\001.png","1095","3094"
"aboriginal","001","pages\001.png","1843","3099"
"abdomen","001","pages\001.png","216","3213"
"able-bodied","001","pages\001.png","1096","3213"
"aborigines","001","pages\001.png","1912","3218"
"abdominal","001","pages\001.png","286","3332"
"ably","001","pages\001.png","1095","3337"
"abound","001","pages\001.png","1838","3331"
"abduct","001","pages\001.png","214","3453"
"disability","001","pages\001.png","1095","3452"
